Date,Blue Mesa Elevation (feet),Flaming Gorge Elevation (feet),Fontenelle Elevation (feet),Lake Powell Elevation (feet),Morrow Point Elevation (feet),Navajo Elevation (feet),Strawberry Elevation (feet)
01-Apr-2018,7478.94,6025.69,6472.76,3609.39,7154.3,6049.73,7592.46
01-May-2018,7480.9,6028.57,6494.84,3611.54,7153.76,6049.8,7592.9
01-Jun-2018,7475.06,6035.09,6499.18,3609.98,7154.16,6044.23,7591.0
01-Jul-2018,7464.43,6034.33,6503.79,3603.8,7155.49,6036.94,7588.79
01-Aug-2018,7453.77,6032.67,6500.1,3597.12,7153.96,6028.27,7587.06
01-Sep-2018,7444.44,6030.75,6495.11,3592.28,7135.77,6020.8,7586.37
01-Oct-2018,7437.59,6029.99,6491.62,3590.46,7136.92,6018.35,7586.22
01-Nov-2018,7438.08,6029.15,6488.29,3586.5,7143.47,6017.43,7586.14
01-Dec-2018,7437.82,6027.49,6483.19,3581.85,7147.95,6016.39,7586.04
01-Jan-2019,7438.4,6026.01,6476.81,3576.34,7147.0,6015.33,7586.32
01-Feb-2019,7437.59,6024.69,6470.41,3571.89,7147.57,6014.9,7586.58
01-Mar-2019,7438.01,6025.67,6464.13,3569.28,7146.9,6024.61,7587.29
01-Apr-2019,7453.91,6028.79,6474.1,3571.12,7155.16,6040.36,7588.79
01-May-2019,7471.68,6030.71,6486.46,3584.65,7154.68,6054.45,7593.5
01-Jun-2019,7504.14,6032.55,6494.89,3611.82,7155.1,6071.44,7597.18
01-Jul-2019,7518.61,6033.89,6502.48,3621.6,7154.18,6073.56,7597.51
01-Aug-2019,7514.39,6032.79,6499.98,3618.55,7153.99,6068.4,7595.76
01-Sep-2019,7508.84,6031.57,6496.36,3615.36,7151.09,6063.13,7594.16
01-Oct-2019,7502.51,6031.13,6493.83,3612.99,7147.86,6061.08,7593.21
01-Nov-2019,7497.63,6030.99,6491.39,3611.23,7148.85,6060.04,7593.14
01-Dec-2019,7490.79,6029.43,6487.01,3608.74,7149.1,6058.25,7593.28
01-Jan-2020,7486.45,6028.03,6481.89,3605.48,7147.47,6056.81,7593.58
01-Feb-2020,7484.2,6026.75,6476.34,3602.72,7147.88,6055.76,7593.7
