State,County,FIPS,MapDate,DSCI
AZ,Apache County,04001,20021217,348
AZ,Apache County,04001,20021224,345
AZ,Apache County,04001,20021231,338
AZ,Apache County,04001,20030107,334
AZ,Apache County,04001,20030114,351
AZ,Apache County,04001,20030121,350
AZ,Apache County,04001,20030128,347
AZ,Apache County,04001,20030204,345
AZ,Apache County,04001,20030211,352
AZ,Apache County,04001,20030218,311
AZ,Apache County,04001,20030225,307
AZ,Apache County,04001,20030304,288
AZ,Apache County,04001,20030311,285
AZ,Apache County,04001,20030318,284
AZ,Apache County,04001,20030325,285
AZ,Apache County,04001,20030401,286
AZ,Apache County,04001,20030408,283
AZ,Apache County,04001,20030415,279
AZ,Apache County,04001,20030422,283
AZ,Apache County,04001,20030429,282
AZ,Apache County,04001,20030506,283
AZ,Apache County,04001,20030513,304
AZ,Apache County,04001,20030520,323
AZ,Apache County,04001,20030527,322
AZ,Apache County,04001,20030603,319
AZ,Apache County,04001,20030610,339
AZ,Apache County,04001,20030617,337
AZ,Apache County,04001,20030624,339
AZ,Apache County,04001,20030701,348
AZ,Apache County,04001,20030708,351
AZ,Apache County,04001,20030715,390
AZ,Apache County,04001,20030722,401
AZ,Apache County,04001,20030729,380
AZ,Apache County,04001,20030805,346
AZ,Apache County,04001,20030812,344
AZ,Apache County,04001,20030819,343
AZ,Apache County,04001,20030826,345
AZ,Apache County,04001,20030902,339
AZ,Apache County,04001,20030909,361
AZ,Apache County,04001,20030916,311
AZ,Apache County,04001,20030923,313
AZ,Apache County,04001,20030930,312
AZ,Apache County,04001,20031007,303
AZ,Apache County,04001,20031014,316
AZ,Apache County,04001,20031021,315
AZ,Apache County,04001,20031028,358
AZ,Apache County,04001,20031104,357
AZ,Apache County,04001,20031111,359
AZ,Apache County,04001,20031118,354
AZ,Apache County,04001,20031125,357
AZ,Apache County,04001,20031202,353
AZ,Apache County,04001,20031209,354
AZ,Apache County,04001,20031216,354
AZ,Apache County,04001,20031223,357
AZ,Apache County,04001,20031230,384
AZ,Apache County,04001,20040106,384
AZ,Apache County,04001,20040113,382
AZ,Apache County,04001,20040120,394
AZ,Apache County,04001,20040127,394
AZ,Apache County,04001,20040203,394
AZ,Apache County,04001,20040210,394
AZ,Apache County,04001,20040217,394
AZ,Apache County,04001,20040224,394
AZ,Apache County,04001,20040302,394
AZ,Apache County,04001,20040309,384
AZ,Apache County,04001,20040316,384
AZ,Apache County,04001,20040323,386
AZ,Apache County,04001,20040330,395
AZ,Apache County,04001,20040406,379
AZ,Apache County,04001,20040413,390
AZ,Apache County,04001,20040420,390
AZ,Apache County,04001,20040427,390
AZ,Apache County,04001,20040504,390
AZ,Apache County,04001,20040511,390
AZ,Apache County,04001,20040518,390
AZ,Apache County,04001,20040525,390
AZ,Apache County,04001,20040601,390
AZ,Apache County,04001,20040608,389
AZ,Apache County,04001,20040615,389
AZ,Apache County,04001,20040622,389
AZ,Apache County,04001,20040629,389
AZ,Apache County,04001,20040706,389
AZ,Apache County,04001,20040713,398
AZ,Apache County,04001,20040720,398
AZ,Apache County,04001,20040727,398
AZ,Apache County,04001,20040803,398
AZ,Apache County,04001,20040810,398
AZ,Apache County,04001,20040817,400
AZ,Apache County,04001,20040824,400
AZ,Apache County,04001,20040831,400
AZ,Apache County,04001,20040907,398
AZ,Apache County,04001,20040914,398
AZ,Apache County,04001,20040921,398
AZ,Apache County,04001,20040928,398
AZ,Apache County,04001,20041005,398
AZ,Apache County,04001,20041012,384
AZ,Apache County,04001,20041019,384
AZ,Apache County,04001,20041026,384
AZ,Apache County,04001,20041102,384
AZ,Apache County,04001,20041109,384
AZ,Apache County,04001,20041116,384
AZ,Apache County,04001,20041123,384
AZ,Apache County,04001,20041130,384
AZ,Apache County,04001,20041207,384
AZ,Apache County,04001,20041214,384
AZ,Apache County,04001,20041221,384
AZ,Apache County,04001,20041228,384
AZ,Apache County,04001,20050104,384
AZ,Apache County,04001,20050111,377
AZ,Apache County,04001,20050118,360
AZ,Apache County,04001,20050125,360
AZ,Apache County,04001,20050201,360
AZ,Apache County,04001,20050208,356
AZ,Apache County,04001,20050215,317
AZ,Apache County,04001,20050222,302
AZ,Apache County,04001,20050301,257
AZ,Apache County,04001,20050308,257
AZ,Apache County,04001,20050315,257
AZ,Apache County,04001,20050322,257
AZ,Apache County,04001,20050329,257
AZ,Apache County,04001,20050405,252
AZ,Apache County,04001,20050412,217
AZ,Apache County,04001,20050419,217
AZ,Apache County,04001,20050426,192
AZ,Apache County,04001,20050503,192
AZ,Apache County,04001,20050510,191
AZ,Apache County,04001,20050517,162
AZ,Apache County,04001,20050524,162
AZ,Apache County,04001,20050531,162
AZ,Apache County,04001,20050607,162
AZ,Apache County,04001,20050614,162
AZ,Apache County,04001,20050621,163
AZ,Apache County,04001,20050628,163
AZ,Apache County,04001,20050705,163
AZ,Apache County,04001,20050712,163
AZ,Apache County,04001,20050719,163
AZ,Apache County,04001,20050726,164
AZ,Apache County,04001,20050802,164
AZ,Apache County,04001,20050809,163
AZ,Apache County,04001,20050816,151
AZ,Apache County,04001,20050823,118
AZ,Apache County,04001,20050830,118
AZ,Apache County,04001,20050906,118
AZ,Apache County,04001,20050913,118
AZ,Apache County,04001,20050920,117
AZ,Apache County,04001,20050927,117
AZ,Apache County,04001,20051004,117
AZ,Apache County,04001,20051011,114
AZ,Apache County,04001,20051018,114
AZ,Apache County,04001,20051025,114
AZ,Apache County,04001,20051101,114
AZ,Apache County,04001,20051108,114
AZ,Apache County,04001,20051115,114
AZ,Apache County,04001,20051122,114
AZ,Apache County,04001,20051129,114
AZ,Apache County,04001,20051206,114
AZ,Apache County,04001,20051213,140
AZ,Apache County,04001,20051220,140
AZ,Apache County,04001,20051227,140
AZ,Apache County,04001,20060103,171
AZ,Apache County,04001,20060110,181
AZ,Apache County,04001,20060117,195
AZ,Apache County,04001,20060124,253
AZ,Apache County,04001,20060131,267
AZ,Apache County,04001,20060207,306
AZ,Apache County,04001,20060214,306
AZ,Apache County,04001,20060221,321
AZ,Apache County,04001,20060228,321
AZ,Apache County,04001,20060307,345
AZ,Apache County,04001,20060314,345
AZ,Apache County,04001,20060321,345
AZ,Apache County,04001,20060328,345
AZ,Apache County,04001,20060404,345
AZ,Apache County,04001,20060411,336
AZ,Apache County,04001,20060418,336
AZ,Apache County,04001,20060425,336
AZ,Apache County,04001,20060502,339
AZ,Apache County,04001,20060509,347
AZ,Apache County,04001,20060516,347
AZ,Apache County,04001,20060523,362
AZ,Apache County,04001,20060530,362
AZ,Apache County,04001,20060606,367
AZ,Apache County,04001,20060613,367
AZ,Apache County,04001,20060620,367
AZ,Apache County,04001,20060627,367
AZ,Apache County,04001,20060704,367
AZ,Apache County,04001,20060711,363
AZ,Apache County,04001,20060718,363
AZ,Apache County,04001,20060725,363
AZ,Apache County,04001,20060801,329
AZ,Apache County,04001,20060808,316
AZ,Apache County,04001,20060815,285
AZ,Apache County,04001,20060822,284
AZ,Apache County,04001,20060829,276
AZ,Apache County,04001,20060905,276
AZ,Apache County,04001,20060912,276
AZ,Apache County,04001,20060919,253
AZ,Apache County,04001,20060926,253
AZ,Apache County,04001,20061003,253
AZ,Apache County,04001,20061010,206
AZ,Apache County,04001,20061017,206
AZ,Apache County,04001,20061024,206
AZ,Apache County,04001,20061031,206
AZ,Apache County,04001,20061107,206
AZ,Apache County,04001,20061114,206
AZ,Apache County,04001,20061121,206
AZ,Apache County,04001,20061128,206
AZ,Apache County,04001,20061205,206
AZ,Apache County,04001,20061212,206
AZ,Apache County,04001,20061219,206
AZ,Apache County,04001,20061226,206
AZ,Apache County,04001,20070102,206
AZ,Apache County,04001,20070109,206
AZ,Apache County,04001,20070116,206
AZ,Apache County,04001,20070123,206
AZ,Apache County,04001,20070130,206
AZ,Apache County,04001,20070206,207
AZ,Apache County,04001,20070213,207
AZ,Apache County,04001,20070220,207
AZ,Apache County,04001,20070227,207
AZ,Apache County,04001,20070306,211
AZ,Apache County,04001,20070313,235
AZ,Apache County,04001,20070320,236
AZ,Apache County,04001,20070327,260
AZ,Apache County,04001,20070403,258
AZ,Apache County,04001,20070410,258
AZ,Apache County,04001,20070417,266
AZ,Apache County,04001,20070424,266
AZ,Apache County,04001,20070501,267
AZ,Apache County,04001,20070508,267
AZ,Apache County,04001,20070515,267
AZ,Apache County,04001,20070522,267
AZ,Apache County,04001,20070529,266
AZ,Apache County,04001,20070605,266
AZ,Apache County,04001,20070612,266
AZ,Apache County,04001,20070619,266
AZ,Apache County,04001,20070626,266
AZ,Apache County,04001,20070703,266
AZ,Apache County,04001,20070710,266
AZ,Apache County,04001,20070717,266
AZ,Apache County,04001,20070724,269
AZ,Apache County,04001,20070731,269
AZ,Apache County,04001,20070807,194
AZ,Apache County,04001,20070814,188
AZ,Apache County,04001,20070821,122
AZ,Apache County,04001,20070828,119
AZ,Apache County,04001,20070904,119
AZ,Apache County,04001,20070911,119
AZ,Apache County,04001,20070918,119
AZ,Apache County,04001,20070925,81
AZ,Apache County,04001,20071002,77
AZ,Apache County,04001,20071009,77
AZ,Apache County,04001,20071016,77
AZ,Apache County,04001,20071023,77
AZ,Apache County,04001,20071030,77
AZ,Apache County,04001,20071106,100
AZ,Apache County,04001,20071113,100
AZ,Apache County,04001,20071120,100
AZ,Apache County,04001,20071127,155
AZ,Apache County,04001,20071204,123
AZ,Apache County,04001,20071211,102
AZ,Apache County,04001,20071218,102
AZ,Apache County,04001,20071225,102
AZ,Apache County,04001,20080101,102
AZ,Apache County,04001,20080108,102
AZ,Apache County,04001,20080115,102
AZ,Apache County,04001,20080122,102
AZ,Apache County,04001,20080129,84
AZ,Apache County,04001,20080205,27
AZ,Apache County,04001,20080212,1
AZ,Apache County,04001,20080219,1
AZ,Apache County,04001,20080226,1
AZ,Apache County,04001,20080304,0
AZ,Apache County,04001,20080311,0
AZ,Apache County,04001,20080318,0
AZ,Apache County,04001,20080325,0
AZ,Apache County,04001,20080401,0
AZ,Apache County,04001,20080408,0
AZ,Apache County,04001,20080415,0
AZ,Apache County,04001,20080422,0
AZ,Apache County,04001,20080429,98
AZ,Apache County,04001,20080506,100
AZ,Apache County,04001,20080513,100
AZ,Apache County,04001,20080520,100
AZ,Apache County,04001,20080527,0
AZ,Apache County,04001,20080603,0
AZ,Apache County,04001,20080610,0
AZ,Apache County,04001,20080617,0
AZ,Apache County,04001,20080624,0
AZ,Apache County,04001,20080701,0
AZ,Apache County,04001,20080708,0
AZ,Apache County,04001,20080715,0
AZ,Apache County,04001,20080722,0
AZ,Apache County,04001,20080729,0
AZ,Apache County,04001,20080805,0
AZ,Apache County,04001,20080812,0
AZ,Apache County,04001,20080819,0
AZ,Apache County,04001,20080826,0
AZ,Apache County,04001,20080902,0
AZ,Apache County,04001,20080909,0
AZ,Apache County,04001,20080916,0
AZ,Apache County,04001,20080923,0
AZ,Apache County,04001,20080930,0
AZ,Apache County,04001,20081007,0
AZ,Apache County,04001,20081014,0
AZ,Apache County,04001,20081021,0
AZ,Apache County,04001,20081028,0
AZ,Apache County,04001,20081104,0
AZ,Apache County,04001,20081111,0
AZ,Apache County,04001,20081118,92
AZ,Apache County,04001,20081125,92
AZ,Apache County,04001,20081202,92
AZ,Apache County,04001,20081209,92
AZ,Apache County,04001,20081216,92
AZ,Apache County,04001,20081223,92
AZ,Apache County,04001,20081230,70
AZ,Apache County,04001,20090106,64
AZ,Apache County,04001,20090113,64
AZ,Apache County,04001,20090120,64
AZ,Apache County,04001,20090127,65
AZ,Apache County,04001,20090203,65
AZ,Apache County,04001,20090210,65
AZ,Apache County,04001,20090217,39
AZ,Apache County,04001,20090224,39
AZ,Apache County,04001,20090303,39
AZ,Apache County,04001,20090310,39
AZ,Apache County,04001,20090317,39
AZ,Apache County,04001,20090324,40
AZ,Apache County,04001,20090331,40
AZ,Apache County,04001,20090407,40
AZ,Apache County,04001,20090414,99
AZ,Apache County,04001,20090421,104
AZ,Apache County,04001,20090428,104
AZ,Apache County,04001,20090505,106
AZ,Apache County,04001,20090512,122
AZ,Apache County,04001,20090519,121
AZ,Apache County,04001,20090526,39
AZ,Apache County,04001,20090602,39
AZ,Apache County,04001,20090609,39
AZ,Apache County,04001,20090616,36
AZ,Apache County,04001,20090623,35
AZ,Apache County,04001,20090630,27
AZ,Apache County,04001,20090707,27
AZ,Apache County,04001,20090714,27
AZ,Apache County,04001,20090721,27
AZ,Apache County,04001,20090728,27
AZ,Apache County,04001,20090804,95
AZ,Apache County,04001,20090811,95
AZ,Apache County,04001,20090818,95
AZ,Apache County,04001,20090825,159
AZ,Apache County,04001,20090901,159
AZ,Apache County,04001,20090908,181
AZ,Apache County,04001,20090915,179
AZ,Apache County,04001,20090922,130
AZ,Apache County,04001,20090929,131
AZ,Apache County,04001,20091006,157
AZ,Apache County,04001,20091013,229
AZ,Apache County,04001,20091020,229
AZ,Apache County,04001,20091027,229
AZ,Apache County,04001,20091103,229
AZ,Apache County,04001,20091110,228
AZ,Apache County,04001,20091117,230
AZ,Apache County,04001,20091124,286
AZ,Apache County,04001,20091201,286
AZ,Apache County,04001,20091208,286
AZ,Apache County,04001,20091215,286
